# id  areaEllipse1(pi.A.B)  areaEllipse2(pi.A.B)  OverlapAreaAnalytical  OverlapAreaPolynomial  err
1       18.8496        9.4248        7.3420       -1.0000       -1.0000
2       18.8496        6.2832        3.8225       -1.0000       -1.0000
3        6.2832        3.5343        0.0000       -1.0000       -1.0000
4       18.8496        6.2832        6.2832       -1.0000       -1.0000
41        6.2832       18.8496        6.2832       -1.0000       -1.0000
5       18.8496       28.2743       18.8496       -1.0000       -1.0000
51        6.2832        6.2832        3.0550       -1.0000       -1.0000
6        6.2832        6.2832        0.0000       -1.0000       -1.0000
7       18.8496        6.2832        6.2832       -1.0000       -1.0000
71        6.2832       19.7920        6.2832       -1.0000       -1.0000
8       18.8496        6.2832        6.2832       -1.0000       -1.0000
81        6.2832       25.1327        6.2832       -1.0000       -1.0000
10       18.8496       18.8496       18.8496       -1.0000       -1.0000
