loc1,loc2,loc3,loc4,loc5
0,0,0,0,0
-10.78,-15.631,-20.482,-25.333,-30.184
-21.56,-31.262,-40.964,-50.666,-60.368
-32.34,-46.893,-61.446,-75.999,-90.552
-21.56,-31.262,-40.964,-50.666,-60.368
-10.78,-15.631,-20.482,-25.333,-30.184
0,0,0,0,0
10.78,15.631,20.482,25.333,30.184
21.56,31.262,40.964,50.666,60.368
32.34,46.893,61.446,75.999,90.552
32.34,46.893,61.446,75.999,90.552
10.78,15.631,20.482,25.333,30.184
0,0,0,0,0
-10.78,-15.631,-20.482,-25.333,-30.184
-21.56,-31.262,-40.964,-50.666,-60.368
-32.34,-46.893,-61.446,-75.999,-90.552
-32.34,-46.893,-61.446,-75.999,-90.552
-21.56,-31.262,-40.964,-50.666,-60.368
0,0,0,0,0
10.78,15.631,20.482,25.333,30.184
21.56,31.262,40.964,50.666,60.368
32.34,46.893,61.446,75.999,90.552
32.34,46.893,61.446,75.999,90.552
21.56,31.262,40.964,50.666,60.368
10.78,15.631,20.482,25.333,30.184
-10.78,-15.631,-20.482,-25.333,-30.184
-21.56,-31.262,-40.964,-50.666,-60.368
-32.34,-46.893,-61.446,-75.999,-90.552
-32.34,-46.893,-61.446,-75.999,-90.552
-21.56,-31.262,-40.964,-50.666,-60.368
-10.78,-15.631,-20.482,-25.333,-30.184
0,0,0,0,0
21.56,31.262,40.964,50.666,60.368
32.34,46.893,61.446,75.999,90.552
32.34,46.893,61.446,75.999,90.552
21.56,31.262,40.964,50.666,60.368
10.78,15.631,20.482,25.333,30.184
0,0,0,0,0
-10.78,-15.631,-20.482,-25.333,-30.184
-32.34,-46.893,-61.446,-75.999,-90.552
-32.34,-46.893,-61.446,-75.999,-90.552
-21.56,-31.262,-40.964,-50.666,-60.368
-10.78,-15.631,-20.482,-25.333,-30.184
0,0,0,0,0
10.78,15.631,20.482,25.333,30.184
21.56,31.262,40.964,50.666,60.368
32.34,46.893,61.446,75.999,90.552
21.56,31.262,40.964,50.666,60.368
10.78,15.631,20.482,25.333,30.184
