loc1,loc2,loc3,loc4,loc5
0,0,0,0,0
6.609166667,9.583291667,12.55741667,15.53154167,18.50566667
13.21833333,19.16658333,25.11483333,31.06308333,37.01133333
19.8275,28.749875,37.67225,46.594625,55.517
19.8275,28.749875,37.67225,46.594625,55.517
13.21833333,19.16658333,25.11483333,31.06308333,37.01133333
13.21833333,19.16658333,25.11483333,31.06308333,37.01133333
6.609166667,9.583291667,12.55741667,15.53154167,18.50566667
0,0,0,0,0
-6.609166667,-9.583291667,-12.55741667,-15.53154167,-18.50566667
-13.21833333,-19.16658333,-25.11483333,-31.06308333,-37.01133333
-19.8275,-28.749875,-37.67225,-46.594625,-55.517
-19.8275,-28.749875,-37.67225,-46.594625,-55.517
-19.8275,-28.749875,-37.67225,-46.594625,-55.517
-13.21833333,-19.16658333,-25.11483333,-31.06308333,-37.01133333
-6.609166667,-9.583291667,-12.55741667,-15.53154167,-18.50566667
0,0,0,0,0
6.609166667,9.583291667,12.55741667,15.53154167,18.50566667
6.609166667,9.583291667,12.55741667,15.53154167,18.50566667
13.21833333,19.16658333,25.11483333,31.06308333,37.01133333
19.8275,28.749875,37.67225,46.594625,55.517
19.8275,28.749875,37.67225,46.594625,55.517
13.21833333,19.16658333,25.11483333,31.06308333,37.01133333
6.609166667,9.583291667,12.55741667,15.53154167,18.50566667
0,0,0,0,0
0,0,0,0,0
-6.609166667,-9.583291667,-12.55741667,-15.53154167,-18.50566667
-13.21833333,-19.16658333,-25.11483333,-31.06308333,-37.01133333
-19.8275,-28.749875,-37.67225,-46.594625,-55.517
-19.8275,-28.749875,-37.67225,-46.594625,-55.517
-13.21833333,-19.16658333,-25.11483333,-31.06308333,-37.01133333
-6.609166667,-9.583291667,-12.55741667,-15.53154167,-18.50566667
-6.609166667,-9.583291667,-12.55741667,-15.53154167,-18.50566667
0,0,0,0,0
6.609166667,9.583291667,12.55741667,15.53154167,18.50566667
13.21833333,19.16658333,25.11483333,31.06308333,37.01133333
19.8275,28.749875,37.67225,46.594625,55.517
19.8275,28.749875,37.67225,46.594625,55.517
19.8275,28.749875,37.67225,46.594625,55.517
13.21833333,19.16658333,25.11483333,31.06308333,37.01133333
6.609166667,9.583291667,12.55741667,15.53154167,18.50566667
0,0,0,0,0
-6.609166667,-9.583291667,-12.55741667,-15.53154167,-18.50566667
-13.21833333,-19.16658333,-25.11483333,-31.06308333,-37.01133333
-13.21833333,-19.16658333,-25.11483333,-31.06308333,-37.01133333
-19.8275,-28.749875,-37.67225,-46.594625,-55.517
-19.8275,-28.749875,-37.67225,-46.594625,-55.517
-13.21833333,-19.16658333,-25.11483333,-31.06308333,-37.01133333
-6.609166667,-9.583291667,-12.55741667,-15.53154167,-18.50566667
